Best: 0.264791 using {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.111111 (0.080937) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 2}
0.174603 (0.124984) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 0}
0.202742 (0.079673) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 1}
0.126263 (0.081648) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 2}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 0}
0.063492 (0.044896) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 1}
0.169553 (0.105097) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 2}
0.063492 (0.044896) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 0}
0.110390 (0.060166) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 1}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 2}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 0}
0.142136 (0.103540) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 1}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 2}
0.126984 (0.118783) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 0}
0.126263 (0.081648) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 1}
0.125541 (0.045950) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 2}
0.173160 (0.061323) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 0}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 1}
0.264791 (0.054194) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.233045 (0.071665) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 0}
0.142857 (0.140187) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 1}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 2}
0.155123 (0.054596) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 0}
0.157287 (0.090829) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 1}
0.111111 (0.097848) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 2}
